"NET_INCOME","OP_PROFIT_LOSS","OP_REVENUES","PAX_SERVICE","AIRCFT_SERVICES","PROMOTION_SALES","OP_EXPENSES","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","REGION","YEAR","QUARTER",
-2228.83,-3369.75,12154.77,506.02,4626.10,0.00,15524.52,20414,"OW","Executive Airlines","OW","Executive Airlines","D",2012,4,
-2225.27,179.99,118638.51,,11961.93,4685.96,118458.52,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways","P",2008,4,
-2224.94,-3203.32,55567.23,164.88,842.74,75.22,58770.55,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.","D",2011,2,
-2220.00,-1526.00,101476.00,3841.00,15512.00,11304.00,103002.00,19687,"QX","Horizon Air","QX","Horizon Air","D",2000,1,
-2219.83,11908.22,87278.48,2840.92,8121.97,1742.18,75370.26,20007,"5Y","Atlas Air Inc.","5Y","Atlas Air Inc.","D",2015,3,
-2218.87,-881.08,70229.87,,13787.94,3983.26,71110.96,20308,"WE","Centurion Cargo Inc.","WE","Centurion Cargo Inc.","L",2015,2,
-2214.22,-2915.46,205011.26,11331.98,9882.18,45.60,207926.72,20366,"EV","ExpressJet Airlines LLC","EV","ExpressJet Airlines Inc.","D",2017,2,
-2214.12,-1484.17,8206.38,,,,9690.55,20173,"CDQ","Kitty Hawk International","CDQ","Connie Kalitta Services","I",1991,2,
-2211.16,-3146.57,12554.68,,,,15701.25,20408,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V","Tatonduk Outfitters Limited d/b/a Everts Air Alask","D",2019,4,
-2207.19,-2076.68,7054.53,385.19,931.67,89.54,9131.21,20283,"YB","Trans Continental Airlines","YB","Trans Continental Airlines","D",1990,1,
-2204.27,5212.18,217832.59,4840.10,7769.00,1001.41,212620.40,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.","D",2009,3,
-2203.73,-2339.02,63227.29,,,,65566.31,20302,"KR","Kitty Hawk Aircargo","KR","Kitty Hawk Aircargo","D",2000,3,
-2202.66,-807.50,38685.95,,1841.54,60.58,39493.45,20151,"M6","Amerijet International","M6","Amerijet International","L",2011,2,
-2197.00,-3427.00,10717.00,,1271.00,27.00,14144.00,19917,"5X","United Parcel Service","5X","United Parcel Service","A",1992,3,
-2196.12,-1881.83,10304.64,1537.67,2366.33,617.23,12186.47,19991,"HP","America West Airlines Inc.","HP","America West Airlines Inc.","L",1996,1,
-2194.02,1396.78,71054.55,11369.73,11736.80,5069.06,69657.77,20312,"TZ","ATA Airlines d/b/a ATA","TZ","American Trans Air Inc.","A",1999,3,
-2193.00,-1557.00,61044.00,4729.00,12260.00,9240.00,62601.00,19704,"CO","Continental Air Lines Inc.","CO","Continental Air Lines Inc.","L",1991,4,
-2189.20,-2546.34,30094.89,,,,32641.24,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.","D",1996,3,
-2188.34,-1227.83,10859.18,,,,12087.01,20019,"5J (1)","Private Jet Expeditions","5J","Private Jet Expeditions","I",1993,4,
-2186.97,-2792.25,30733.61,,,,33525.86,20415,"NA","North American Airlines","XG","North American Airlines","D",2002,4,
